year,period,periodName,latest,value,footnotes,calculations,DateTime,MonthOverMonth,3-Month,6-Month,YearOverYear
2013,M07,July,,167.1,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.7', '3': '4.0', '6': '3.8', '12': '3.0'}}",2013-07-01,0.7,4.0,3.8,3.0
2013,M06,June,,165.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '2.3', '3': '3.2', '6': '3.9', '12': '2.9'}}",2013-06-01,2.3,3.2,3.9,2.9
2013,M05,May,,162.1,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.9', '3': '0.9', '6': '2.3', '12': '2.1'}}",2013-05-01,0.9,0.9,2.3,2.1
2013,M04,April,,160.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '-0.2', '6': '1.0', '12': '2.2'}}",2013-04-01,0.0,-0.2,1.0,2.2
2013,M03,March,,160.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '0.7', '6': '-1.4', '12': '2.3'}}",2013-03-01,0.0,0.7,-1.4,2.3
2013,M02,February,,160.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.2', '3': '1.4', '6': '-1.0', '12': '2.1'}}",2013-02-01,-0.2,1.4,-1.0,2.1
2013,M01,January,,161.0,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.9', '3': '1.2', '6': '-0.7', '12': '2.5'}}",2013-01-01,0.9,1.2,-0.7,2.5
2012,M12,December,,159.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.7', '3': '-2.0', '6': '-1.1', '12': '1.1'}}",2012-12-01,0.7,-2.0,-1.1,1.1
2012,M11,November,,158.5,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.4', '3': '-2.3', '6': '-0.2', '12': '0.9'}}",2012-11-01,-0.4,-2.3,-0.2,0.9
2012,M10,October,,159.1,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-2.3', '3': '-1.9', '6': '1.1', '12': '0.1'}}",2012-10-01,-2.3,-1.9,1.1,0.1
