year,period,periodName,latest,value,footnotes,calculations
2010,M08,August,,175.3,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '-0.5', '6': '1.8', '12': '3.5'}}"
2010,M07,July,,174.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '-0.3', '6': '0.9', '12': '4.5'}}"
2010,M06,June,,174.8,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.7', '3': '0.5', '6': '2.3', '12': '3.8'}}"
2010,M05,May,,176.1,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '2.3', '6': '3.2', '12': '6.2'}}"
2010,M04,April,,175.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.7', '3': '1.2', '6': '3.7', '12': '6.7'}}"
2010,M03,March,,173.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.0', '3': '1.8', '6': '3.1', '12': '6.8'}}"
2010,M02,February,,172.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.5', '3': '0.9', '6': '1.7', '12': '5.1'}}"
2010,M01,January,,173.1,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.3', '3': '2.5', '6': '3.6', '12': '5.1'}}"
2009,M12,December,,170.8,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '1.3', '6': '1.4', '12': '4.1'}}"
2009,M11,November,,170.7,"[{'code': 'C', 'text': 'Correction'}]","{'net_changes': {}, 'pct_changes': {'1': '1.1', '3': '0.8', '6': '3.0', '12': '0.8'}}"
2009,M10,October,,168.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '1.1', '6': '2.9', '12': '-4.5'}}"
2009,M09,September,,168.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.5', '3': '0.1', '6': '3.5', '12': '-7.8'}}"
2009,M08,August,,169.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.4', '3': '2.2', '6': '3.4', '12': '-7.2'}}"
2009,M07,July,,167.1,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.8', '3': '1.8', '6': '1.5', '12': '-10.0'}}"
2009,M06,June,,168.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.6', '3': '3.4', '6': '2.6', '12': '-7.5'}}"
2009,M05,May,,165.8,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.0', '3': '1.2', '6': '-2.1', '12': '-7.6'}}"
2009,M04,April,,164.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.8', '3': '-0.3', '6': '-7.1', '12': '-6.3'}}"
2009,M03,March,,162.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.6', '3': '-0.7', '6': '-10.9', '12': '-6.1'}}"
2009,M02,February,,163.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.5', '3': '-3.2', '6': '-10.2', '12': '-3.4'}}"
2009,M01,January,,164.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '-6.8', '6': '-11.3', '12': '-2.3'}}"
2008,M12,December,,164.1,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-3.1', '3': '-10.3', '6': '-9.8', '12': '-1.7'}}"
2008,M11,November,,169.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-4.2', '3': '-7.2', '6': '-5.6', '12': '0.8'}}"
2008,M10,October,,176.8,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-3.3', '3': '-4.7', '6': '0.9', '12': '7.5'}}"
2008,M09,September,,182.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.5', '6': '5.5', '12': '11.7'}}"
2008,M08,August,,182.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-1.6', '3': '1.8', '6': '7.7', '12': '12.0'}}"
2008,M07,July,,185.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '2.0', '3': '5.9', '6': '10.1', '12': '12.6'}}"
2008,M06,June,,182.0,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.4', '3': '5.0', '6': '9.0', '12': '11.2'}}"
2008,M05,May,,179.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '2.3', '3': '5.8', '6': '6.8', '12': '9.5'}}"
2008,M04,April,,175.3,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.1', '3': '4.0', '6': '6.6', '12': '8.1'}}"
2008,M03,March,,173.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '2.2', '3': '3.9', '6': '5.9', '12': '8.3'}}"
2008,M02,February,,169.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.7', '3': '1.0', '6': '4.0', '12': '7.5'}}"
2008,M01,January,,168.5,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.0', '3': '2.4', '6': '2.2', '12': '7.7'}}"
